"ADVNUM","CERTIFICATE NUMBER","PARCEL","WINNINGBID","FACE AMOUNT","BIDDER ID","PRIMARY NAME ON ACCOUNT"
"0000001","2016-0000001","121023167001000490","18.00","37.64","0000000","STRUCK TO County"
"0000002","2016-0000002","011026720001100040","18.00","1466.32","0000000","STRUCK TO County"
"0000003","2016-0000003","121023167001000480","18.00","37.64","0000000","STRUCK TO County"
"0000004","2016-0000004","131126824402400160","18.00","175.06","0000000","STRUCK TO County"
"0000005","2016-0000005","121023167001000500","18.00","37.64","0000000","STRUCK TO County"
"0000006","2016-0000006","121023167001000450","18.00","37.64","0000000","STRUCK TO County"
"0000007","2016-0000007","121023167001000440","18.00","37.64","0000000","STRUCK TO County"
"0000008","2016-0000008","121023167001000470","18.00","37.64","0000000","STRUCK TO County"
"0000009","2016-0000009","121023167001000460","18.00","37.64","0000000","STRUCK TO County"
"0000015","2016-0000015","121023167001000440","18.00","40.96","0000000","STRUCK TO County"
"0000016","2016-0000016","121023167001000410","18.00","37.64","0000000","STRUCK TO County"
"0000017","2016-0000017","121023167001000430","18.00","40.96","0000000","STRUCK TO County"
"0000018","2016-0000018","121023167001000420","18.00","37.64","0000000","STRUCK TO County"
"0000019","2016-0000019","121023167001000420","18.00","40.96","0000000","STRUCK TO County"
"0000020","2016-0000020","121023167001000430","18.00","37.64","0000000","STRUCK TO County"
"0000021","2016-0000021","121023167001000410","18.00","40.96","0000000","STRUCK TO County"
"0000022","2016-0000022","250924407507200180","18.00","160.61","0000000","STRUCK TO County"
"0000024","2016-0000024","121026810000200200","18.00","4954.91","0000000","STRUCK TO County"
"0000025","2016-0000025","121023167001000410","18.00","34.28","0000000","STRUCK TO County"
"0000026","2016-0000026","121023167001000420","18.00","34.28","0000000","STRUCK TO County"
"0000027","2016-0000027","250924407507900100","18.00","187.71","0000000","STRUCK TO County"
"0000028","2016-0000028","391126823101200060","18.00","747.66","0000000","STRUCK TO County"
"0000029","2016-0000029","181024511200400240","18.00","78.54","0000000","STRUCK TO County"
"0000030","2016-0000030","181024511200400250","18.00","78.54","0000000","STRUCK TO County"
"0000032","2016-0000032","391126823101200060","18.00","1054.4","0000000","STRUCK TO County"
"0000033","2016-0000033","121023167001000450","18.00","40.96","0000000","STRUCK TO County"
"0000034","2016-0000034","121023167001000460","18.00","40.96","0000000","STRUCK TO County"
