Advertising_Number,Block,Lot,Qual,Face_Value,Winning_Bidder_number,Name, WinningBid
0118,85,2,,820.44,9002711,MARCIN J. WISNIEWSKI,$2100.00
0119,85,5,,874.85,9001708,NICKEITA S ANDERSON,$1100.00
0120,85,10,,12592.62,9001708,NICKEITA S ANDERSON,$800.00
0121,87,4,,425.14,9002304,MARKIM PURVIS,$500.00
0122,87,9,,714.34,9000235,LINGUINI INC,$200.00
0123,87,12,,668.09,9000956,REID A WHITING  II,$200.00
0124,88,4,,236.98,9002304,MARKIM PURVIS,$300.00
0125,91,4,,3227.78,9001688,WILLIAM ZACHARY HENDERSON,1.00%
0126,92,3,,227.93,9000983,DERWIN J SMITH,$300.00
0127,92,5,,620.25,9001361,HURH LLC,0.00%
0128,96,4,,1053.64,9001361,HURH LLC,0.00%
0129,96,6,,334.62,9002675,DOUBLE D MARKETING,0.00%
0130,96,8,,269.62,9002675,DOUBLE D MARKETING,$300.00
0131,96,9,,599.6,9002675,DOUBLE D MARKETING,0.00%
0132,97,10,,1051.05,9002675,DOUBLE D MARKETING,$500.00
0133,98,11,,8511.5,9002675,DOUBLE D MARKETING,$3800.00
0134,98,13,,481.36,9002675,DOUBLE D MARKETING,$1300.00
0135,99,5,,1008.27,9002675,DOUBLE D MARKETING,$1700.00
0136,99,9,,8919.4,9002675,DOUBLE D MARKETING,$2100.00
0137,99,11.01,,776.19,9002675,DOUBLE D MARKETING,$2500.00
0138,100,11,,11967.98,9002675,DOUBLE D MARKETING,$2900.00
0139,101,12,,905.43,9002675,DOUBLE D MARKETING,$3300.00
0140,103,12,,426.84,9002675,DOUBLE D MARKETING,$3700.00
0141,103,16,,611.8,9002675,DOUBLE D MARKETING,$4100.00
0142,103,20,,3878.68,9002675,DOUBLE D MARKETING,$4500.00
0143,104,1,,2217.84,9002675,DOUBLE D MARKETING,$4900.00
0144,104,2,,510.11,9002675,DOUBLE D MARKETING,$5300.00
0145,105,16,,115,9002675,DOUBLE D MARKETING,$5200.00
0146,106,17,,3011.75,9002675,DOUBLE D MARKETING,$4800.00
0147,107,2,,575.75,9002675,DOUBLE D MARKETING,$4400.00
0148,107,14,,406.39,9002675,DOUBLE D MARKETING,$4000.00
0149,108,1,,270.14,9002675,DOUBLE D MARKETING,$3600.00
0150,108,2,,508.97,9000237,ARTHUR FONZARELLI,$2100.00
0151,109,7,,450.28,9000237,ARTHUR FONZARELLI,$2300.00
0152,110,7,,269.55,9000235,LINGUINI INC,$2400.00
0153,110,12,,367.79,9000235,LINGUINI INC,$2000.00
0154,113,2,,325.66,9000235,LINGUINI INC,$1600.00
0155,113,4,,380.74,9000235,LINGUINI INC,$1200.00
0156,113,16,,155,9002675,DOUBLE D MARKETING,$3300.00
0157,114,1,,709.61,9000235,LINGUINI INC,$3100.00
0158,114,13,,6152.19,9001708,NICKEITA S ANDERSON,$3700.00
0159,114,16,,15467.28,9000235,LINGUINI INC,0.00%
0160,116,11,,1460.91,9000235,LINGUINI INC,0.00%
0161,116,12,,7499.8,9000235,LINGUINI INC,0.00%
0162,116,13,,6321.43,9000235,LINGUINI INC,0.00%
0163,116,15,,587.23,9000235,LINGUINI INC,0.00%
0164,116,17.01,,944.69,9000235,LINGUINI INC,0.00%
0165,116,21,,270.14,9000235,LINGUINI INC,0.00%
0166,117,4,,334.62,9000235,LINGUINI INC,0.00%
0167,117,20,,319.29,9000235,LINGUINI INC,0.00%
0168,117,21,,335.14,9000235,LINGUINI INC,7.00%
0169,118,3,,924.61,9000235,LINGUINI INC,11.00%
0170,118,17,,311.36,9000235,LINGUINI INC,15.00%
0171,118,18,,271.82,9000235,LINGUINI INC,12.00%
0172,119,3,,199.22,9000235,LINGUINI INC,8.00%
0173,119,13,,4850.15,9000235,LINGUINI INC,4.00%
0174,120,2,,270.14,9000235,LINGUINI INC,$1600.00
0175,120,3,,268.83,9000235,LINGUINI INC,$1100.00
0176,120,23,,533.02,9000235,LINGUINI INC,$900.00
0177,121,8,,780.83,9000235,LINGUINI INC,$1300.00
0178,121,11,,999.21,9000235,LINGUINI INC,$1700.00
0179,121,20,,635.02,9000235,LINGUINI INC,$2100.00
0180,123,3,,1238.65,9000235,LINGUINI INC,$2500.00
0181,123,8,,270.14,9000237,ARTHUR FONZARELLI,$2400.00
0182,123,10,,1088.74,9000237,ARTHUR FONZARELLI,$2200.00
0183,123,13,,4099.54,9000237,ARTHUR FONZARELLI,$2000.00
0184,123,14,,155,9000237,ARTHUR FONZARELLI,$1800.00
0185,124,10,,546.64,9000237,ARTHUR FONZARELLI,$1600.00
0186,124,14,,270.14,9000237,ARTHUR FONZARELLI,$1400.00
0187,125,1,,1330.81,9000237,ARTHUR FONZARELLI,$1200.00
0188,125,7,,555.22,9000237,ARTHUR FONZARELLI,$1000.00
0189,125,8,,155,9000237,ARTHUR FONZARELLI,$800.00
0190,125,11.01,,155,9000237,ARTHUR FONZARELLI,$600.00
0191,125,20,,1871.75,9000237,ARTHUR FONZARELLI,$400.00
0192,127,5,,751.24,9000237,ARTHUR FONZARELLI,$200.00
0193,128,9,,121,9000237,ARTHUR FONZARELLI,$100.00
0194,129,14,,587.66,9000237,ARTHUR FONZARELLI,1.00%
0195,129,20,,693.77,9000237,ARTHUR FONZARELLI,3.00%
0197,132,12,,584.73,9000237,ARTHUR FONZARELLI,5.00%
0198,132,19,,416.54,9000237,ARTHUR FONZARELLI,1.00%
