Advertising_Number,Block,Lot,Qual,Face_Value,Winning_Bidder_number,Name, WinningBid
0469,463,16,,487.03,9000610,SAMUEL C WEN,$600.00
0470,463,31,,907.22,9000610,SAMUEL C WEN,$1100.00
0471,463,46,,4619.53,9000610,SAMUEL C WEN,$1600.00
0472,464,7,,1548.72,9002304,MARKIM PURVIS,$3100.00
0473,464,12,,276.45,9000610,SAMUEL C WEN,$200.00
0474,469,4,,211.45,9001361,HURH LLC,$3100.00
0475,469,13,,1874.74,9000610,SAMUEL C WEN,$600.00
0476,469,16,,256.16,9000610,SAMUEL C WEN,$200.00
0477,469,21,,2625.51,9000610,SAMUEL C WEN,$1100.00
0478,470,48,,287.69,9000610,SAMUEL C WEN,$900.00
0479,471,1,,264.99,9000610,SAMUEL C WEN,$1300.00
0480,471,10,,402.8,9000610,SAMUEL C WEN,$1700.00
0481,472,9,,203.64,9000610,SAMUEL C WEN,$2100.00
0482,472,22,,100,9000610,SAMUEL C WEN,$2500.00
0483,472,23,,340.34,9000610,SAMUEL C WEN,$2900.00
0484,472,27,,575.71,9000237,ARTHUR FONZARELLI,$3100.00
0485,472,36,,265.4,9000237,ARTHUR FONZARELLI,$3100.00
0486,474,8,,586.07,9000237,ARTHUR FONZARELLI,$3100.00
0487,475,19,,270.14,9000237,ARTHUR FONZARELLI,$3100.00
0488,475,25,,1704.31,9000610,SAMUEL C WEN,$600.00
0489,475,26,,624.3,9000610,SAMUEL C WEN,$600.00
0490,475,31,,574.1,9000610,SAMUEL C WEN,$600.00
0491,480,9,,431.8,9000610,SAMUEL C WEN,$200.00
0492,482,2,,889.01,9000610,SAMUEL C WEN,$600.00
0493,482,9,,968.62,9001361,HURH LLC,$3100.00
0494,485,7,,748.53,9000610,SAMUEL C WEN,$600.00
0495,485,26,,269.55,9000610,SAMUEL C WEN,$200.00
0496,486,14,,544.86,9000610,SAMUEL C WEN,$600.00
0497,488,11,,661.25,9000610,SAMUEL C WEN,$600.00
0498,488,13,,269.55,9000610,SAMUEL C WEN,$200.00
0499,490,6,,270.14,9000610,SAMUEL C WEN,$200.00
0500,491,12,,8881.29,9000610,SAMUEL C WEN,$1100.00
0501,495,12,,498.76,9000610,SAMUEL C WEN,$600.00
0502,495,14,,95.72,9000610,SAMUEL C WEN,$200.00
0503,496,4,,339.22,9000610,SAMUEL C WEN,$200.00
0504,500,7,,1086.8,9000610,SAMUEL C WEN,$600.00
0505,503,11,,1254.28,9000610,SAMUEL C WEN,$600.00
0506,503,12,,7404.05,9002642,FJDHSGDSGS,0.00%
0507,506,2,,924.62,9002642,FJDHSGDSGS,0.00%
0508,507,1,,2408.12,9002642,FJDHSGDSGS,0.00%
0509,507,13,,486.77,9000610,SAMUEL C WEN,$600.00
