AdvNum,Parcel,Face Amount,Certificate Number,WinningBid,Bidder ID,Primary Name On Account
000014,101039270,26.1,0,016.00,00000000,STRUCK TO COUNTY
000018,10105006Q,26.1,0,016.00,00000000,STRUCK TO COUNTY
000019,10105086G,4241.77,0,016.00,00000000,STRUCK TO COUNTY
000021,10107085E,21.07,0,016.00,00000000,STRUCK TO COUNTY
000034,10111001U,24.8,0,016.00,00000000,STRUCK TO COUNTY
000035,10111001V,437.45,0,016.00,00000000,STRUCK TO COUNTY
000039,10112032C,93.95,0,016.00,00000000,STRUCK TO COUNTY
000044,101131500,21.07,0,016.00,00000000,STRUCK TO COUNTY
000045,101131510,21.07,0,016.00,00000000,STRUCK TO COUNTY
000049,101132780,20.2,0,016.00,00000000,STRUCK TO COUNTY
000073,10115118F,25.1,0,016.00,00000000,STRUCK TO COUNTY
000082,101153100,679.73,0,016.00,00000000,STRUCK TO COUNTY
000084,101153430,21.07,0,016.00,00000000,STRUCK TO COUNTY
000103,101170060,26.1,0,016.00,00000000,STRUCK TO COUNTY
000106,101171010,769.16,0,016.00,00000000,STRUCK TO COUNTY
000109,10120011F,427.08,0,016.00,00000000,STRUCK TO COUNTY
000110,10120011G,26.1,0,016.00,00000000,STRUCK TO COUNTY
000114,101200470,427.08,0,016.00,00000000,STRUCK TO COUNTY
000136,102031400,24.8,0,016.00,00000000,STRUCK TO COUNTY
000137,10205080K,583.06,0,016.00,00000000,STRUCK TO COUNTY
000139,10207040B,24.8,0,016.00,00000000,STRUCK TO COUNTY
000143,10208105B,401.26,0,016.00,00000000,STRUCK TO COUNTY
000145,10212001R,24.8,0,016.00,00000000,STRUCK TO COUNTY
000146,102130560,24.8,0,016.00,00000000,STRUCK TO COUNTY
000157,102155290,20.2,0,016.00,00000000,STRUCK TO COUNTY
000160,102156620,20.2,0,016.00,00000000,STRUCK TO COUNTY
000161,10217152A,24.8,0,016.00,00000000,STRUCK TO COUNTY
000163,10217168J,24.8,0,016.00,00000000,STRUCK TO COUNTY
000165,10217174F,24.8,0,016.00,00000000,STRUCK TO COUNTY
000166,10217174H,24.8,0,016.00,00000000,STRUCK TO COUNTY
000167,10217174J,24.8,0,016.00,00000000,STRUCK TO COUNTY
000174,102194640,19.09,0,016.00,00000000,STRUCK TO COUNTY
000176,102194660,19.09,0,016.00,00000000,STRUCK TO COUNTY
000181,10220014B,24.8,0,016.00,00000000,STRUCK TO COUNTY
000184,102201210,20.2,0,016.00,00000000,STRUCK TO COUNTY
000185,10221017E,24.8,0,016.00,00000000,STRUCK TO COUNTY
000187,102220410,366.9,0,016.00,00000000,STRUCK TO COUNTY
000191,10303060B,25.51,0,016.00,00000000,STRUCK TO COUNTY
000215,103174490,578.81,0,016.00,00000000,STRUCK TO COUNTY
000219,103190130,186.72,0,016.00,00000000,STRUCK TO COUNTY
000220,10319061A,23.9,0,016.00,00000000,STRUCK TO COUNTY
000221,103202180,19.59,0,016.00,00000000,STRUCK TO COUNTY
000223,10321029V,534.27,0,016.00,00000000,STRUCK TO COUNTY
000227,103217060,252.79,0,016.00,00000000,STRUCK TO COUNTY
000228,103217070,252.79,0,016.00,00000000,STRUCK TO COUNTY
000229,103217090,19.59,0,016.00,00000000,STRUCK TO COUNTY
000230,103217630,23.9,0,016.00,00000000,STRUCK TO COUNTY
000231,10401040H,113.65,0,016.00,00000000,STRUCK TO COUNTY
000233,104010600,641.51,0,016.00,00000000,STRUCK TO COUNTY
000237,104011460,280.04,0,016.00,00000000,STRUCK TO COUNTY
000242,10402126B,952.72,0,016.00,00000000,STRUCK TO COUNTY
000243,104021340,641.51,0,016.00,00000000,STRUCK TO COUNTY
000244,10403001K,26.63,0,016.00,00000000,STRUCK TO COUNTY
000271,10407057H,336.94,0,016.00,00000000,STRUCK TO COUNTY
000273,10408009D,9678.28,0,016.00,00000000,STRUCK TO COUNTY
000277,104091570,25.31,0,016.00,00000000,STRUCK TO COUNTY
000283,10410077B,27.15,0,016.00,00000000,STRUCK TO COUNTY
000307,105010620,24.8,0,016.00,00000000,STRUCK TO COUNTY
000308,10501067A,479.49,0,016.00,00000000,STRUCK TO COUNTY
000312,10504026F,479.49,0,016.00,00000000,STRUCK TO COUNTY
000315,10505088B,479.49,0,016.00,00000000,STRUCK TO COUNTY
000316,10505133B,479.49,0,016.00,00000000,STRUCK TO COUNTY
000317,10505134C,479.49,0,016.00,00000000,STRUCK TO COUNTY
000323,10508002E,24.8,0,016.00,00000000,STRUCK TO COUNTY
000324,10508020D,23.53,0,016.00,00000000,STRUCK TO COUNTY
000332,10512089A,363.54,0,016.00,00000000,STRUCK TO COUNTY
000340,10513008A,524.71,0,016.00,00000000,STRUCK TO COUNTY
000342,10513109L,425.26,0,016.00,00000000,STRUCK TO COUNTY
000347,10601223A,574.18,0,016.00,00000000,STRUCK TO COUNTY
000349,10602019C,574.18,0,016.00,00000000,STRUCK TO COUNTY
000362,10604161C,524.71,0,016.00,00000000,STRUCK TO COUNTY
000369,106043410,2287.31,0,016.00,00000000,STRUCK TO COUNTY
000370,106043420,8371,0,016.00,00000000,STRUCK TO COUNTY
000371,106043430,17279.68,0,016.00,00000000,STRUCK TO COUNTY
000372,106043440,8371,0,016.00,00000000,STRUCK TO COUNTY
000373,10604345A,6913.58,0,016.00,00000000,STRUCK TO COUNTY
000374,106043460,17279.68,0,016.00,00000000,STRUCK TO COUNTY
000375,106043470,17279.68,0,016.00,00000000,STRUCK TO COUNTY
000376,106043480,17279.68,0,016.00,00000000,STRUCK TO COUNTY
000377,10604350A,23.19,0,016.00,00000000,STRUCK TO COUNTY
000378,10605039B,23.19,0,016.00,00000000,STRUCK TO COUNTY
000385,10605171D,332.56,0,016.00,00000000,STRUCK TO COUNTY
000386,10605172B,332.56,0,016.00,00000000,STRUCK TO COUNTY
000388,106051880,19.11,0,016.00,00000000,STRUCK TO COUNTY
000390,10606034D,939.27,0,016.00,00000000,STRUCK TO COUNTY
000406,10612065B,22307.41,0,016.00,00000000,STRUCK TO COUNTY
000409,106121040,702.99,0,016.00,00000000,STRUCK TO COUNTY
000414,10701022B,25.55,0,016.00,00000000,STRUCK TO COUNTY
000415,107010280,770.34,0,016.00,00000000,STRUCK TO COUNTY
000428,10706059D,512.07,0,016.00,00000000,STRUCK TO COUNTY
000454,107123890,19.11,0,016.00,00000000,STRUCK TO COUNTY
000467,10713148B,23.19,0,016.00,00000000,STRUCK TO COUNTY
000468,10713152C,11752.79,0,016.00,00000000,STRUCK TO COUNTY
000469,10713153C,9356.31,0,016.00,00000000,STRUCK TO COUNTY
000471,107133150,19.11,0,016.00,00000000,STRUCK TO COUNTY
000472,107133160,19.11,0,016.00,00000000,STRUCK TO COUNTY
000489,10801141B,21.79,0,016.00,00000000,STRUCK TO COUNTY
000492,10801614B,20.77,0,016.00,00000000,STRUCK TO COUNTY
000495,108022830,21.79,0,016.00,00000000,STRUCK TO COUNTY
000496,108024490,172.32,0,016.00,00000000,STRUCK TO COUNTY
000515,10813225D,132.35,0,016.00,00000000,STRUCK TO COUNTY
000516,108132380,21.79,0,016.00,00000000,STRUCK TO COUNTY
000517,10815030J,21.79,0,016.00,00000000,STRUCK TO COUNTY
000518,10815049A,420.98,0,016.00,00000000,STRUCK TO COUNTY
000520,108164170,19.11,0,016.00,00000000,STRUCK TO COUNTY
000522,10818712D,21.87,0,016.00,00000000,STRUCK TO COUNTY
000525,10820047A,2534.77,0,016.00,00000000,STRUCK TO COUNTY
000540,10825007B,203.11,0,016.00,00000000,STRUCK TO COUNTY
000544,108255110,96.65,0,016.00,00000000,STRUCK TO COUNTY
000545,108255120,96.65,0,016.00,00000000,STRUCK TO COUNTY
000546,108255130,96.65,0,016.00,00000000,STRUCK TO COUNTY
000547,108255140,96.65,0,016.00,00000000,STRUCK TO COUNTY
000548,108255150,96.65,0,016.00,00000000,STRUCK TO COUNTY
000549,108255160,96.65,0,016.00,00000000,STRUCK TO COUNTY
000550,108255170,96.65,0,016.00,00000000,STRUCK TO COUNTY
000551,108255180,96.65,0,016.00,00000000,STRUCK TO COUNTY
000552,108255190,96.65,0,016.00,00000000,STRUCK TO COUNTY
000553,108255200,96.65,0,016.00,00000000,STRUCK TO COUNTY
