Advertising_Number,Block,Lot,Qual,Face_Value,Winning_Bidder_number,Name, WinningBid
0001,101,2,,2172.15,00000184,PRO CAP 8  LLC,$3900.00
0007,102,19,,3032.63,00000162,FIG NJ19  LLC,$2800.00
0008,102,20,,14107.27,00000162,FIG NJ19  LLC,$14300.00
0012,103,3,,1900.91,00000184,PRO CAP 8  LLC,$3000.00
0023,301,25,,1162.29,00000162,FIG NJ19  LLC,18.00%
0024,301,29,,5063.58,00000162,FIG NJ19  LLC,$5300.00
0026,301,32,,5351.19,00000184,PRO CAP 8  LLC,$4100.00
0031,401,14,,6090.96,00000162,FIG NJ19  LLC,$3400.00
0033,401,17,,6890.99,00000162,FIG NJ19  LLC,$4100.00
0040,601,9,,4242.78,00000184,PRO CAP 8  LLC,$12200.00
0041,601,10,,6306.83,00000077,TRYSTONE CAPITAL ASSETS  LLC,18.00%
0043,601,14,,2032.37,00000184,PRO CAP 8  LLC,$4100.00
0044,601,15,,16619.47,00000162,FIG NJ19  LLC,$31900.00
0047,701,6,,654.55,00000162,FIG NJ19  LLC,$1500.00
0051,701,22,,13625.7,00000162,FIG NJ19  LLC,$18600.00
0052,701,23,,312.41,00000175,CC1 NJ II LLC,$1500.00
0054,701,25,-C0002,3382.96,00000184,PRO CAP 8  LLC,$5600.00
0059,702,6,,2780.74,00000162,FIG NJ19  LLC,$2200.00
0060,702,7,,2750.58,00000162,FIG NJ19  LLC,$2200.00
0062,702,13,,414.16,00000175,CC1 NJ II LLC,$1500.00
0064,702,17,,286.87,00000184,PRO CAP 8  LLC,$1100.00
0068,702,31,,150.37,00000162,FIG NJ19  LLC,$100.00
0069,702,32,,1022.53,00000184,PRO CAP 8  LLC,$1100.00
0072,703,12,,4658.37,00000162,FIG NJ19  LLC,$3300.00
0073,703,18,,150.37,00000162,FIG NJ19  LLC,$500.00
0074,703,19,,3331.65,00000175,CC1 NJ II LLC,$3400.00
0076,703,23,,4538.74,00000162,FIG NJ19  LLC,14.00%
0078,703,28,,1176.89,00000184,PRO CAP 8  LLC,$1600.00
0081,704,2,,6238.5,00000162,FIG NJ19  LLC,$2500.00
0082,704,3,,14013.96,00000162,FIG NJ19  LLC,$31500.00
0083,704,20,,266,00000175,CC1 NJ II LLC,$1400.00
0084,704,21,,371.24,00000184,PRO CAP 8  LLC,$1400.00
0085,704,22,,5736.74,00000184,PRO CAP 8  LLC,$10100.00
0086,704,27,,149.65,00000162,FIG NJ19  LLC,$200.00
