Advertising_Number,Block,Lot,Qual,Face_Value,Winning_Bidder_number,Name, WinningBid
0001,101,2,,9237.72,00000134,TOWER DB VIII TRUST 2018-1,$9400.00
0002,102,14,,6923.8,00000134,TOWER DB VIII TRUST 2018-1,$7100.00
0006,301,29,,1612.9,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$8200.00
0007,401,9,,16197.03,00000118,AUCTION Z INC,$2200.00
0014,703,34,,13389.29,00000098,ATCF II NEW JERSEY LLC,$18700.00
0015,703,36,,726.52,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$900.00
0019,901,8,,330.22,00000135,FIG NJ18 LLC,$500.00
0020,901,13,,1129.26,00000118,AUCTION Z INC,$1200.00
0022,901,47,,394.59,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$500.00
0023,901,60,,154.3,00000118,AUCTION Z INC,$200.00
0029,1001,25,,1513.98,00000118,AUCTION Z INC,$1600.00
0030,1002,21,,298.83,00000135,FIG NJ18 LLC,$400.00
0031,1002,23,,2063.03,00000118,AUCTION Z INC,$1600.00
0032,1002,25,,664.56,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$800.00
0033,1003,2,,6297.18,00000118,AUCTION Z INC,$100.00
0034,1003,16,,5886.62,00000118,AUCTION Z INC,$4100.00
0036,1004,17,,6352.64,00000098,ATCF II NEW JERSEY LLC,$2100.00
0038,1006,25,,7022.2,00000098,ATCF II NEW JERSEY LLC,$23900.00
0040,1006,41,,1398.61,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$1500.00
0041,1101,12,,681.41,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$800.00
0042,1102,7,,10185.18,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$19500.00
0047,1203,36,,8026.65,00000118,AUCTION Z INC,$2100.00
0054,1204,27,,24534.3,00000118,AUCTION Z INC,18.00%
0055,1204,28,,1290.43,00000118,AUCTION Z INC,$500.00
0056,1205,11,,1440.85,00000077,TRYSTONE CAPITAL ASSETS  LLC,$1600.00
0057,1402,7,,270.62,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$700.00
0058,1402,11,,1293.72,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$1400.00
0060,1402,29,,209.47,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$500.00
0064,1403,37,,2785,00000098,ATCF II NEW JERSEY LLC,$10800.00
0065,1403,45,,351.84,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$500.00
0067,1502,13,,6566.42,00000118,AUCTION Z INC,$6600.00
0069,1503,7,,352.32,00000118,AUCTION Z INC,$100.00
0072,1503,31,,172.97,00000142,VETERANS INVESTMENT FUND  LLC,$500.00
0077,1602,31,,12194.34,00000135,FIG NJ18 LLC,$12300.00
0079,1701,4,,599.42,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$700.00
0080,1701,14,,21476.62,00000135,FIG NJ18 LLC,$21600.00
0081,1702,15,-C0001,352.32,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$500.00
0083,1801,9,,3411.58,00000098,ATCF II NEW JERSEY LLC,$8100.00
0086,1802,30,,16687.43,00000135,FIG NJ18 LLC,$16800.00
0090,1901,2,,28219.92,00000098,ATCF II NEW JERSEY LLC,$28400.00
0091,1901,17,,13055.58,00000098,ATCF II NEW JERSEY LLC,$21200.00
0092,1902,16,,1999.51,00000104,US BANK CUST FOR PC7 FIRSTRUST BANK,$2100.00
