ADVNUM,CERTIFICATE NUMBER,PARCEL,WINNINGBID,BIDDER ID,FACE AMOUNT,PRIMARY NAME ON ACCOUNT
"000002","0000001","012622-000010-000421","00.25","1576468","$875.05","CAP ONE AS COLL ASSN RMCTL2013"
"000003","0000002","012622-000010-000492","00.25","0003543","$1,276.34","TLGFY LLC"
"000005","0000003","022622-000000-011040","03.75","1576468","$408.18","CAP ONE AS COLL ASSN RMCTL2013"
"000006","0000004","022622-000000-013090","18.00","7002991","$18.87","MATHON INVESTMENTS"
"000007","0000005","022622-000000-031090","18.00","7002991","$18.71","MATHON INVESTMENTS"
"000008","0000006","022622-000000-031130","18.00","7002991","$18.70","MATHON INVESTMENTS"
"000009","0000007","022622-000000-031190","18.00","7002991","$18.73","MATHON INVESTMENTS"
"000010","0000008","022622-000000-031260","16.75","0005913","$46.94","GERARD MOLIERE"
"000011","0000009","022622-000000-031280","18.00","7002991","$18.73","MATHON INVESTMENTS"
"000012","0000010","022622-000000-032020","18.00","7002991","$18.73","MATHON INVESTMENTS"
"000013","0000011","022622-000000-032070","17.75","7002991","$18.73","MATHON INVESTMENTS"
"000014","0000012","022622-000000-032090","18.00","7002991","$18.73","MATHON INVESTMENTS"
"000016","0000013","022622-000000-033040","18.00","7002991","$64.64","MATHON INVESTMENTS"
"000017","0000014","022622-000000-033180","18.00","7002991","$18.81","MATHON INVESTMENTS"
"000018","0000015","022622-000000-033220","18.00","7002991","$18.58","MATHON INVESTMENTS"
"000019","0000016","022622-000000-033280","18.00","7002991","$18.70","MATHON INVESTMENTS"
"000020","0000017","022622-000000-033290","18.00","7002991","$18.78","MATHON INVESTMENTS"
"000022","0000018","022622-000000-034180","18.00","7002991","$18.70","MATHON INVESTMENTS"
"000023","0000019","022622-000000-034220","18.00","7002991","$18.67","MATHON INVESTMENTS"
"000024","0000020","022622-000000-034270","18.00","7002991","$18.70","MATHON INVESTMENTS"
"000025","0000021","022622-000000-034290","18.00","7002991","$18.73","MATHON INVESTMENTS"
"000026","0000022","022622-000000-041030","18.00","7002991","$18.97","MATHON INVESTMENTS"
"000027","0000023","022622-000000-041050","18.00","7002991","$18.94","MATHON INVESTMENTS"
"000028","0000024","022622-000000-041080","18.00","7002991","$18.94","MATHON INVESTMENTS"
"000030","0000025","022622-000000-042080","18.00","7002991","$19.02","MATHON INVESTMENTS"
"000032","0000026","022622-000000-042150","18.00","7002991","$18.99","MATHON INVESTMENTS"
"000033","0000027","022622-000000-042200","18.00","7002991","$18.97","MATHON INVESTMENTS"
"000035","0000028","022622-000000-043030","18.00","7002991","$18.94","MATHON INVESTMENTS"
"000036","0000029","022622-000000-043060","18.00","7002991","$18.99","MATHON INVESTMENTS"
"000037","0000030","022622-000000-043090","17.75","7002991","$18.97","MATHON INVESTMENTS"
"000038","0000031","022622-000000-043100","18.00","7002991","$18.97","MATHON INVESTMENTS"
"000039","0000032","022622-000000-043200","18.00","7002991","$18.99","MATHON INVESTMENTS"
"000040","0000033","022622-000000-043260","18.00","7002991","$18.99","MATHON INVESTMENTS"
"000041","0000034","022622-000000-044060","18.00","7002991","$55.91","MATHON INVESTMENTS"
"000042","0000035","022622-000000-044070","18.00","7002991","$55.85","MATHON INVESTMENTS"
"000044","0000036","022622-000000-044130","18.00","7002991","$19.02","MATHON INVESTMENTS"
"000045","0000037","022622-000000-044170","18.00","7002991","$19.02","MATHON INVESTMENTS"
"000046","0000038","022622-000000-044230","18.00","7002991","$19.03","MATHON INVESTMENTS"
"000047","0000039","022622-000000-044270","18.00","7002991","$18.99","MATHON INVESTMENTS"
"000049","0000040","032622-000000-012010","06.75","0006155","$443.54","TC 13, LLC"
"000052","0000041","032622-000000-013050","18.00","7004125","$166.97","PETER A MAIRORANO OR"
